Text,Frequency
र्अ,146
अक्,130
अन्,90
अर्,90
अह् ,80
क्अ,78
अम्,69
न्अ,61
स्अ,57
आर्,51
प्अ,50
य्आ,48
क्ए,47
अस्,45
ल्अ,44
एक्,43
ज्अ,43
न्ए,43
म्ए,43
त्अ,41
एअं,41
अत्,41
व्अ,40
ह् ऐ,38
य्अ,37
अप्,37
अल्,36
म्अ,35
क्आ,34
अब्,32
ओअं,29
क्ई,29
न्आ,28
आन्,28
ब्अ,28
ह् अ,27
इस्,26
आह् ,25
क्इ,25
त्आ,24
अंक्,24
ट्अ,24
इय्,23
र्आ,23
आय्,22
अव्,22
द्अ,22
आक्,22
अद्,22
ल्आ,21
ह् ओ,21
ऐअं,21
ल्ए,20
ह् आ,20
स्ए,20
त्इ,20
आस्,19
आम्,19
आव्,18
ग्अ,18
अभ्,18
आज्,17
प्आ,17
व्इ,17
ज्आ,17
ईक्,17
इन्,17
एह् ,17
न्इ,16
ह् ई,16
इक्,16
अंस्,16
अय्,15
प्र्,15
और्,15
अग्,15
व्आ,15
ईह् ,15
आत्,15
ल्इ,14
अज्,14
त्ई,14
आअं,14
ओज्,14
र्ई,13
क्ओ,13
ट्ई,13
एस्,13
एल्,13
उन्,13
अंग्,13
एप्,13
ईअं,12
क्ष्,12
ईस्,12
ध्इ,12
इत्,11
म्आ,11
र्ए,11
स्अं,11
आद्,11
च्अ,11
एब्,11
एम्,11
अंह् ,11
श्अ,11
एज्,11
एद्,10
आप्,10
ईम्,10
आल्,10
द्इ,10
अआ,10
ईय्,10
अंत्,10
आच्,10
अश्,10
ओर्,10
अड्,10
इल्,9
स्ई,9
स्आ,9
ऐक्,9
र्इ,9
ह् ए,9
अअ,9
इए,9
अऔ,9
ट्इ,9
त्र्,9
एश्,9
ईत्,9
ईन्,9
ग्आ,9
इज्,8
भ्ई,8
भ्आ,8
एट्,8
ईप्,8
इव्,8
उम्,8
र्ऊ,8
अंज्,8
ऐस्,8
न्ई,8
ओत्,8
द्ए,8
ईद्,7
द्ओ,7
अउ,7
अंप्,7
त्ए,7
ओग्,7
एत्,7
अंड्,7
एव्,7
ड्अ,7
इट्,7
अख्,7
ज्इ,7
ईज्,7
त्ओ,7
उक्,7
द्आ,7
ष्अ,7
आई,7
ध्आ,7
ओन्,7
र्ट्,7
स्त्,7
ईआ,6
ख्अ,6
थ्आ,6
ओस्,6
अच्,6
आइ,6
एर्,6
न्य्,6
ब्आ,6
ट्र्,6
फ्अ,6
एय्,6
च्आ,6
म्उ,6
ल्ओ,6
ओह् ,6
ईव्,6
ब्इ,5
आग्,5
एउ,5
ओब्,5
ह् उ,5
स्ट्,5
र्ष्,5
इअं,5
ज्ऊ,5
त्उ,5
अए,5
ईर्,5
श्आ,5
भ्अ,5
इध्,5
ओक्,5
य्ओ,5
म्ई,5
अंच्,5
त्अं,5
अंभ्,4
ऊन्,4
इम्,4
प्ऊ,4
ध्अ,4
च्ए,4
अट्,4
अंम्,4
थ्ए,4
च्उ,4
एअ,4
एन्,4
ईउ,4
न्ह् ,4
आथ्,4
म्इ,4
फ्इ,4
ब्द्,4
एआ,4
र्त्,4
आब्,4
ऊस्,4
ध्ई,4
अंव्,4
क्र्,4
इर्,4
स्,4
अइ,4
ल्ई,4
प्उ,4
थ्ई,4
ग्ओ,4
थ्अ,4
एइ,4
ईल्,4
आध्,4
ऊर्,4
र्ओ,4
र्द्,4
म्म्,4
अंय्,4
ख्इ,3
ओद्,3
आए,3
व्अं,3
त्त्,3
अंध्,3
इष्,3
अढ्,3
ईए,3
म्ऐ,3
ड्ई,3
ईइ,3
आऐ,3
य्ऊ,3
ब्र्,3
अंउ,3
श्इ,3
ख्ए,3
एख्,3
प्ए,3
क्उ,3
ज्,3
ख्ओ,3
अंऔ,3
र्श्,3
म्औ,3
अण्,3
अंअ,3
एग्,3
इ,3
उल्,3
अंल्,3
श्उ,3
फ्आ,3
र्,3
अफ्,3
श्ई,3
एच्,3
ह् ऊ,3
अथ्,3
उर्,3
क्त्,3
ओई,3
इच्,3
अध्,3
ओप्,3
इप्,3
क्,3
य्ए,3
ग्ई,3
च्इ,3
व्ई,3
ईच्,3
आउ,3
झ्ए,3
स्उ,3
ऐल्,3
इश्,3
ह् अं,3
उस्,3
इह् ,3
क्य्,3
ऐब्,2
म्ओ,2
द्ई,2
र्य्,2
ईब्,2
ऐ,2
स्थ्,2
र्ण्,2
न्ओ,2
त्प्,2
व्य्,2
ऊप्,2
स्प्,2
व्ए,2
ब्ऐ,2
ठ्अ,2
ईश्,2
आ,2
ल्ऐ,2
आष्,2
ग्ए,2
ट्ए,2
ह् इ,2
ख्,2
र्ज्,2
ओख्,2
उद्,2
क्ट्,2
व्ऑ,2
ईअ,2
ऐग्,2
ऑम्,2
प्इ,2
फ्ऑ,2
छ्अ,2
ष्इ,2
ऊल्,2
ठ्ई,2
आओ,2
ओअ,2
स्ऊ,2
ष्ट्,2
ऐऔ,2
ल्ल्,2
ओआ,2
ज्ई,2
ईओ,2
स्क्,2
ड्आ,2
ब्ए,2
अंर्,2
ऑल्,2
ज्य्,2
उख्,2
ऐज्,2
ऑय्,2
ड्क्,2
ट्ऑ,2
ईट्,2
उव्,2
ग्इ,2
उअं,2
इद्,2
इउ,2
च्च्,2
उच्,2
उष्,2
ध्य्,2
अढ़्,2
अंद्,2
ऐआ,2
अंब्,2
आफ्,2
आण्,2
उ,2
एथ्,2
घ्ए,2
म्ऊ,2
अंन्,2
ईफ्,2
ओल्,2
व्,2
न्द्,2
ऐय्,2
व्ऐ,2
ग्र्,2
ईण्,2
र्च्,2
एए,2
ईऔ,2
द्ऊ,2
अंआ,2
ग्उ,2
इछ्,2
ओऔ,2
अड़्,2
स्ओ,2
झ्आ,2
ईभ्,2
ह् न्,2
उआ,1
द्उ,1
आआ,1
उप्,1
व्र्,1
थ्इ,1
इड्,1
एड्,1
ड्ड्,1
औज्,1
ऊद्,1
औत्,1
व्ओ,1
अअं,1
र्र्,1
म्र्,1
प्ई,1
छ्ए,1
एऐ,1
स्इ,1
स्स्,1
इब्,1
ऑड्,1
ओफ्,1
ऐउ,1
ल्व्,1
आभ्,1
च्छ्,1
ग्ऑ,1
ऍन्,1
इण्,1
एऔ,1
उट्,1
श्ओ,1
च्ई,1
ल्अं,1
ब्ई,1
अंछ्,1
आश्,1
छ्ओ,1
ऐफ्,1
य्औ,1
त्ऐ,1
औन्,1
ल्क्,1
द्द्,1
क्ऊ,1
म्अं,1
क्स्,1
र्उ,1
ओड्,1
स्औ,1
अंट्,1
प्ओ,1
ड़्अ,1
क्ऑ,1
प्ट्,1
ट्आ,1
र्स्,1
ऊब्,1
ह् म्,1
ड्ओ,1
य्,1
ज्ओ,1
ऐन्,1
उई,1
ट्,1
य्उ,1
आट्,1
फ्ट्,1
ण्अ,1
उठ्,1
न्न्,1
ढ्य्,1
ण्आ,1
श्च्,1
ओव्,1
छ्ई,1
इघ्,1
ऊउ,1
द्य्,1
ष्आ,1
ईठ्,1
घ्उ,1
ळ्अ,1
घ्अ,1
ब्य्,1
एझ्,1
आड्,1
अझ्,1
ईढ्,1
अंफ्,1
र्ऐ,1
क्च्,1
ज्ज्,1
भ्ऊ,1
त्य्,1
ईघ्,1
ओष्,1
म्,1
अ,1
ढ्स्,1
फ्,1
भ्इ,1
ख्उ,1
उझ्,1
ओइ,1
म्ह् ,1
ब्उ,1
ईछ्,1
ध्उ,1
ऐप्,1
ड्इ,1
ऊथ्,1
द्औ,1
स्य्,1
ष्ओ,1
घ्आ,1
ड्म्,1
ऐइ,1
ड्त्,1
ण्य्,1
अऍ,1
अंथ्,1
ढ्क्,1
अंइ,1
अंख्,1
र्थ्,1
म्ऑ,1
औक्,1
ष्य्,1
ड्ए,1
प्स्,1
ऐच्,1
आख्,1
उश्,1
क्ऐ,1
उभ्,1
ओम्,1
र्ध्,1
फ्अं,1
छ्आ,1
एभ्,1
ज्उ,1
ड़्ए,1
इख्,1
एध्,1
प्अं,1
छ्ऊ,1
ओच्,1
ह् औ,1
ऑर्,1
ऐअ,1
ल्ड्,1
द्व्,1
त्औ,1
त्अः,1
ओध्,1
ब्ओ,1
उछ्,1
