Text,Frequency
र्अ,223
क्अ,142
न्अ,141
स्अ,122
ह् ऐ,85
क्ए,80
ज्अ,79
म्ए,79
प्अ,75
म्अ,74
ल्अ,72
न्ए,71
क्आ,65
व्अ,63
य्अ,60
य्आ,59
त्अ,57
न्आ,55
क्इ,51
ब्अ,50
ह् अ,47
क्ई,46
द्अ,41
त्आ,39
ह् ई,38
स्ए,37
ह् ओ,36
ज्आ,35
ल्ए,35
क्ओ,34
र्आ,34
ह् आ,33
प्आ,32
श्अ,29
ट्अ,28
म्आ,27
ल्आ,27
व्इ,26
न्इ,25
त्इ,25
र्ए,23
ग्अ,23
प्र्अ,23
ल्इ,22
व्आ,21
न्ई,20
द्इ,20
त्ई,19
स्आ,18
र्इ,18
ट्ई,17
स्ई,17
भ्ई,17
ध्इ,17
र्ई,16
ल्ओ,16
त्ए,15
ग्आ,15
च्अ,14
ब्आ,14
य्ओ,13
त्ओ,13
च्उ,12
ध्आ,12
क्ष्अ,11
ह् ए,11
अंक्ए,11
त्अंत्र्अ,11
भ्आ,10
र्ऊ,10
द्आ,10
म्उ,10
द्ए,10
थ्आ,9
अंक्ई,9
फ्अ,9
अंन्ए,9
य्ए,9
ख्ओ,9
च्आ,9
त्उ,9
अंव्अ,9
ख्अ,8
म्ऐ,8
अंड्अ,8
अंग्अ,8
ल्ई,8
भ्अ,8
र्ट्इ,8
द्ओ,7
ज्इ,7
ब्इ,7
च्ए,7
अंक्अ,7
ह् उ,7
ह् इ,7
फ्इ,7
अंज्अ,7
अंक्ओ,7
र्ओ,7
ज्ई,7
ग्ई,7
श्आ,7
म्ई,7
म्इ,6
अंक्इ,6
प्ऊ,6
ज्ऊ,6
ब्र्आ,6
स्त्आ,6
अंइ,6
अंस्अ,6
अंस्ए,6
अंप्अ,6
प्उ,6
य्उ,6
स्उ,6
अंह् ऐ,6
म्म्ई,6
ह् अंग्आ,6
र्ट्ई,6
द्ई,5
अंह् ओ,5
ब्ए,5
अंक्आ,5
ड्ई,5
क्उ,5
अंत्अ,5
ख्ए,5
ग्ए,5
थ्ए,5
छ्अ,5
क्ष्इ,5
द्ऊ,5
ग्ओ,5
थ्अ,5
अंभ्ई,4
म्ओ,4
ज्य्अ,4
च्इ,4
ध्अ,4
व्य्अ,4
अंत्ओ,4
ख्उ,4
ब्द्ओ,4
अंऔ,4
म्औ,4
अंअ,4
अंय्अ,4
द्औ,4
श्उ,4
अंज्इ,4
प्ओ,4
ड्आ,4
श्ई,4
द्व्आ,4
अंह् अ,4
अंब्अ,4
ह् ऊ,4
क्त्अ,4
क्त्इ,4
झ्आ,4
र्ष्अ,4
झ्ए,4
अंच्अ,4
स्य्आ,4
व्ए,3
ख्इ,3
द्उ,3
र्य्अ,3
अंए,3
स्प्अ,3
प्र्आ,3
ल्ऐ,3
क्र्इ,3
अंड्ए,3
अंउ,3
न्ह् ओ,3
श्इ,3
क्स्अ,3
क्ऑ,3
ट्इ,3
ड्अ,3
ण्आ,3
र्श्अ,3
न्उ,3
ण्अ,3
स्ऊ,3
प्इ,3
अंल्अ,3
य्ऊ,3
स्त्ई,3
फ्आ,3
अंट्अ,3
र्ट्अ,3
ड़्अ,3
स्व्अ,3
र्त्अ,3
ट्ऑ,3
च्च्अ,3
अंआ,3
ध्ई,3
स्ट्र्ई,3
र्ज्अ,3
थ्ई,3
भ्इ,3
त्र्अ,3
प्ए,3
अंध्ई,3
र्द्अ,3
ह् न्अ,3
न्य्आ,2
र्ण्अ,2
र्व्अ,2
त्त्अ,2
न्ओ,2
त्प्आ,2
ष्प्अ,2
ड्ड्ई,2
ब्ऐ,2
अंभ्आ,2
ल्ल्ए,2
प्ई,2
ट्ए,2
स्ट्अ,2
फ्ऑ,2
क्ऐ,2
स्ट्इ,2
ब्द्अ,2
ष्ट्अ,2
र्ऐ,2
ब्ऊ,2
अंह् आ,2
व्य्आ,2
ट्आ,2
ख्आ,2
स्क्ऊ,2
स्व्आ,2
ड्इ,2
ज्ए,2
अंर्आ,2
ड्ओ,2
स्त्अ,2
ज्ओ,2
अंर्अ,2
ख्ई,2
ड्क्ई,2
ल्ल्ई,2
ग्इ,2
अंद्अ,2
अंह् ई,2
अंल्ए,2
ध्य्अ,2
श्च्इ,2
घ्अ,2
क्ष्आ,2
अंब्ओ,2
र्ड्अ,2
ण्ई,2
अंच्उ,2
व्ई,2
म्ऊ,2
ल्म्अ,2
त्र्ई,2
म्ह् ए,2
छ्आ,2
न्द्र्अ,2
ग्र्आ,2
ण्ओ,2
ड्क्अ,2
अंम्अ,2
र्ग्अ,2
अंम्ए,2
अंय्ए,2
ज्उ,2
ष्य्अ,2
प्र्इ,2
श्य्अ,2
स्अंस्क्र्त्इ,2
क्य्आ,2
स्अंभ्अ,2
अंक्य्आ,2
त्व्अ,2
प्य्आ,1
अंप्आ,1
व्अंग्अ,1
स्थ्इ,1
स्त्ए,1
स्अंस्आ,1
व्अंट्अ,1
भ्ओ,1
ग्र्अ,1
व्र्ह् अ,1
र्थ्इ,1
ब्अंध्अ,1
अंन्य्आ,1
ढ्आ,1
ठ्अ,1
अंम्औ,1
अंथ्ए,1
ग्औ,1
व्ओ,1
प्त्अ,1
र्र्आ,1
ष्ट्र्ई,1
स्अंन्य्आ,1
र्क्अ,1
ब्य्ऊ,1
म्र्अ,1
अंस्अंन्य्आ,1
छ्ए,1
य्र्अ,1
स्इ,1
स्स्आ,1
र्ज्उ,1
ब्ऑ,1
क्ट्इ,1
ज्ऐ,1
स्व्इ,1
व्ऑ,1
न्व्ऑ,1
ल्व्अ,1
अंच्ए,1
च्छ्आ,1
म्प्इ,1
स्प्ए,1
क्ट्अ,1
अंह् ए,1
ल्प्अ,1
ग्ऑ,1
ज्ऍ,1
प्र्ष्ठ्अ,1
क्ऊ,1
त्र्उ,1
ठ्ई,1
अंग्ए,1
श्ओ,1
र्त्आ,1
च्ई,1
स्अंग्इ,1
ल्अंब्ई,1
अंछ्अ,1
छ्ओ,1
अंस्थ्आ,1
र्ध्ई,1
ट्र्ऐ,1
र्ष्इ,1
ब्य्औ,1
त्ऐ,1
क्औ,1
ल्क्उ,1
द्द्आ,1
स्अंप्अ,1
त्त्इ,1
क्र्ए,1
म्अंत्र्ई,1
क्स्ई,1
न्च्आ,1
र्उ,1
क्र्अ,1
ष्ट्र्अ,1
अंस्क्ई,1
स्औ,1
