item,frequency
अ,6912841
आ,2991109
ए,2318442
क्,2219964
र्,2140164
ई,1460305
इ,1432973
न्,1334448
स्,1283708
अं,1215588
ह् ,1133159
म्,1053237
त्,980066
ल्,919917
ओ,896588
प्,805896
य्,752819
व्,624743
द्,607633
उ,587149
ज्,551378
ब्,524636
ग्,479490
ऐ,437996
ट्,318634
श्,297486
च्,272542
भ्,230722
ड्,221707
ऊ,217617
थ्,182810
औ,182697
ख्,166957
ध्,161695
फ्,142268
ष्,125476
ण्,90836
छ्,61767
ऑ,52256
ठ्,43298
घ्,42245
ढ्,25748
झ्,23474
ड़्,22810
ञ्,6702
ढ़्,6220
ज़्,5232
ळ्,4899
अः,2670
फ़्,2622
ऍ,1819
ऋ,1587
ख़्,1224
क़्,1137
ग़्,470
य़्,409
ङ्,316
ऒ,226
ऎ,158
ॠ,19
