item,frequency
आ,703406
व्ए,25555
द्अ,237620
न्अ,607095
क्अ,703372
र्अ,1252342
न्ए,307729
क्ई,244562
ख्अ,119807
इ,681207
र्ई,119527
त्अ,408225
ज्अ,287151
व्अ,272375
ह् ऐ,296118
न्ई,83446
द्उ,10360
द्ओ,21838
ह् अ,344610
म्अ,479719
र्ए,70178
ल्इ,81927
ए,535481
क्इ,189691
न्आ,162402
प्अ,493972
य्अ,285127
न्इ,53185
य्आ,269667
क्ओ,202105
द्इ,58519
ब्अ,314481
स्अ,571962
उ,275020
ह् ई,136369
भ्ई,88485
म्इ,22959
ल्अ,461669
ज्आ,116813
म्ओ,15368
द्ई,45359
क्आ,287318
क्ए,393586
ल्ए,118660
र्य्अ,12776
म्ए,274562
त्ई,70406
ल्आ,115527
ग्अ,242719
थ्आ,44811
ह् आ,109182
र्आ,144351
ज्य्अ,7302
भ्आ,63568
प्आ,58145
ह् ओ,94168
अंग्अ,54775
त्आ,164100
प्र्अ,104136
ओ,296412
ब्ए,12288
ट्ई,32957
प्ऊ,23938
च्अ,126909
ऐ,78418
स्ई,69443
स्थ्इ,5710
ऊ,141933
ण्अ,77999
त्ए,74098
स्आ,115629
ध्अ,75978
न्ओ,13480
ट्अ,170490
भ्अ,78669
व्आ,145220
व्य्अ,9426
औ,155085
र्थ्अ,7676
ब्अंध्अ,4514
क्ष्अ,35443
र्ऊ,16185
स्प्अ,5220
ड्ई,29388
च्ए,10381
ड्अ,92727
व्इ,93042
ब्ऐ,14188
ठ्अ,38825
म्औ,13184
ज्ऊ,6882
थ्ए,16362
च्उ,20030
श्अ,228736
क्उ,25445
म्आ,97715
स्ए,212670
अ,253205
ध्इ,14972
प्र्आ,7466
प्त्अ,5462
ह् उ,59427
अंड्अ,28898
ब्आ,96259
ष्ट्अ,16881
क्र्अ,17639
ख्इ,8672
फ्अ,107659
य्ऊ,12900
ह् ए,22741
न्ह् ओ,16578
अंन्ए,18228
प्ई,32589
छ्अ,47739
श्इ,8320
स्त्आ,10295
ग्ए,23946
त्इ,50280
ट्ए,13455
स्ट्अ,27134
ह् इ,27047
ख्ए,4159
ऑ,41596
त्ओ,40644
ख्उ,8167
ज्ऐ,4753
य्ए,35055
क्ऑ,5317
ऍ,1819
र्इ,18813
ष्ठ्अ,4473
न्उ,12109
द्आ,42271
य्ओ,50922
ई,213078
च्आ,40932
स्ऊ,8203
च्ई,5909
ब्ई,29310
म्उ,49413
द्ऊ,7576
ध्ई,7632
ट्र्अ,5410
ष्अ,37817
ज्ई,38772
त्ऐ,5722
ग्आ,54866
द्औ,8544
स्क्अ,5922
ग्ई,40968
ध्आ,25355
म्अंत्र्ई,15481
श्उ,14811
ल्ओ,38002
अंप्अ,5005
द्ए,83924
र्ट्अ,15223
ल्ई,52294
र्स्अ,7037
प्उ,30108
स्त्अ,14390
थ्ई,20402
ज्ओ,21948
ग्ओ,18778
थ्अ,65599
ज्इ,26950
म्ऐ,19295
श्आ,11687
य्उ,7350
ल्ल्ई,8116
स्उ,30532
अंद्अ,36524
क्त्अ,11147
च्च्अ,9992
स्थ्अ,16571
र्त्अ,5826
न्न्अ,5961
ढ्अ,7128
क्त्इ,6490
अंक्अ,6564
ड्ए,16170
ण्आ,7657
प्ओ,6134
ध्य्अ,13368
र्व्अ,10934
ग्र्अ,7896
द्ध्अ,10029
र्ज्अ,4071
क्य्ओ,6474
अंक्इ,4177
घ्अ,42245
द्य्अ,5714
क्ष्आ,9643
ब्ओ,6027
र्ड्अ,6138
फ्ऐ,6396
ज्य्आ,6621
ण्ई,5180
ळ्अ,4899
अंब्अ,11101
झ्अ,18405
म्म्ई,4085
ग्इ,4554
न्ह् ए,8814
व्ई,20887
र्ष्अ,7656
न्य्अ,5591
फ्इ,18843
ल्म्अ,8696
त्र्अ,32010
झ्ए,5069
क्स्अ,7708
छ्आ,5823
अंच्अ,28241
द्र्अ,6786
क्ष्ए,8109
म्ई,12883
अंव्अ,4904
न्ह् अ,4405
ब्इ,12366
ग्उ,10084
प्इ,9377
ड्आ,15168
द्व्आ,9270
ख्आ,19178
अंग्र्ए,7668
ज्उ,8049
अंत्र्अ,8366
स्थ्आ,5679
स्व्अ,6709
अंस्अ,8382
ख्य्अ,8198
क्य्आ,7071
स्ओ,12682
य्ई,4840
र्ट्ई,6881
त्व्अ,4946
क्अंप्अ,7827
र्ओ,27962
त्य्आ,4826
ज्ए,10377
क्ऐ,7174
स्इ,26396
र्फ्अ,4415
र्उ,18344
ज्ञ्अ,4812
ड्ऑ,5343
क्ट्अ,11102
अंग्ए,9177
स्अंग्अ,4529
च्इ,4289
अंत्अ,7086
ट्आ,8495
म्म्अ,3692
त्र्आ,4693
च्छ्अ,8205
अंद्र्अ,8058
र्म्अ,14805
त्म्अ,5147
व्ओ,7066
प्ऐ,5932
अंह् अ,13700
अंध्अ,5351
श्व्अ,4209
अंट्अ,10606
फ्ई,7577
श्र्ई,6231
श्ई,7103
ऋ,1587
ब्अंद्अ,4270
ब्उ,7900
स्अंब्अंध्अ,4496
च्औ,5884
ड्इ,5187
ञ्अ,1890
ङ्अ,316
अंत्र्ई,145
ऎ,158
ऒ,226
ॠ,19
