item,frequency
व्एद्अ,2101
क्अर्अ,157498
आख्अ,2131
आर्ई,16551
ज्अन्अ,19827
व्अर्ई,3937
इत्अ,46809
ह् अम्आ,5080
ल्इए,53777
आर्अ,38283
द्उन्इ,3223
आप्अ,29453
द्इय्आ,21033
ब्अस्अ,3655
ह् अम्ए,4300
म्इल्अ,11134
ज्आए,14106
म्ओद्ई,6315
स्अर्अ,31433
क्आर्अ,48779
प्अह् अ,23685
क्आर्य्अ,12776
क्आल्अ,3048
त्ईन्अ,6305
ल्एक्अ,10294
ब्इल्अ,1826
ग्अय्आ,30203
ह् आल्आ,3785
त्अब्अ,3936
य्अह् अ,31055
र्आज्य्अ,7302
स्अभ्आ,3017
प्आस्अ,6962
न्अह् ई,49103
भ्आज्अ,5326
द्इव्अ,2905
न्एत्आ,5834
म्अह् आ,6645
स्अच्इ,1993
ब्अन्आ,16216
ऐस्ई,2848
स्थ्इत्इ,2760
एक्अ,54352
प्ऊर्ण्अ,3004
इक्अ,45433
व्इत्अ,3166
इस्अ,95508
त्अर्अ,25753
इस्त्ए,2618
म्आल्अ,5989
ट्अन्अ,2327
स्अभ्ई,8777
उप्अ,14455
ओग्अ,6020
व्आल्ए,12947
उत्प्आ,2307
व्य्अव्अ,3566
ह् आर्अ,3180
और्अ,119313
स्अम्अ,35035
ब्अंध्अन्अ,2010
प्अक्ष्अ,3998
र्ऊप्अ,9091
ब्अढ्आ,2555
द्इल्अ,2984
एल्अ,11493
य्अर्अ,3741
ऐन्अ,6737
ट्अर्अ,10256
म्अन्अ,8603
आइ,8910
र्अव्इ,2658
ब्ऐठ्अ,6072
म्औज्ऊ,2610
आम्अ,24431
च्उन्आ,7644
क्उम्आ,5307
त्अम्अ,4559
स्अब्अ,13688
अध्इ,14972
ल्आख्अ,5571
ह् अज्आ,4114
ओट्अ,5689
प्र्आप्त्अ,2834
ह् उए,19421
आय्अ,32245
र्अल्अ,1797
ऐअंड्अ,3688
ट्ईम्अ,7059
व्इक्ए,1923
प्अर्अ,105525
ब्अल्ल्ए,1649
इय्आ,21951
