item,frequency
आव्ए,1595
द्अन्अ,1595
क्अर्अ,160969
आख्इ,1879
त्आर्ई,721
ज्अन्अ,18185
व्अर्ई,3045
इत्अ,40759
उआ,1850
ह् अम्आ,6051
ल्इए,53135
प्य्आर्अ,1426
द्उन्इ,3241
आप्अ,28713
द्इय्आ,21048
ब्अस्अ,4110
ह् अम्ए,4300
म्इल्अ,11027
ज्आए,13456
म्ओद्ई,6315
स्अर्अ,25172
क्आर्अ,46192
प्अह् अ,23200
क्आर्य्अ,12988
त्ईन्अ,6308
ल्एक्अ,10297
आय्आ,14622
ग्अय्आ,30203
ह् आल्आ,3785
त्अब्अ,4523
य्अह् अ,34020
र्आज्य्अ,8771
प्आस्अ,7798
न्अह् ई,49103
प्आय्आ,1450
भ्आज्अ,5328
इव्अ,3833
न्एत्आ,6480
म्अह् आ,8088
ब्एट्ई,1433
ऊन्अ,5934
स्अच्इ,2592
ब्अन्आ,16080
ऐस्ई,2848
स्थ्इत्इ,2761
एक्अ,58567
न्य्आय्अ,1959
प्ऊर्ण्अ,3028
स्आर्व्अ,867
ज्अन्इ,867
व्इत्त्अ,2325
इस्अ,94435
त्अर्अ,21122
इस्त्ए,2618
म्आल्अ,2618
स्अभ्ई,8777
उप्अ,14702
व्आल्ए,12960
उत्प्आ,2274
व्य्अव्अ,3547
ह् आर्अ,5193
और्अ,120784
स्अम्अ,26411
इक्अ,31560
प्र्अब्अंध्अ,854
र्ऊप्अ,10862
ब्अढ्आ,3554
द्इल्अ,4632
एय्अ,4336
ट्अर्अ,7041
ब्ऐठ्अ,6072
म्औज्ऊ,3558
आम्अ,4224
च्उन्आ,8369
क्उम्आ,6392
स्अब्अ,13679
अध्इ,14962
ल्आख्अ,5584
ह् अज्आ,4208
व्ओट्अ,1757
प्र्आप्त्अ,3170
ह् उए,19421
आय्अ,21669
ल्ऐअंड्अ,1821
ट्ईम्अ,7292
व्इक्ए,1923
प्अर्अ,107193
ब्अल्ल्ए,1530
ब्आज्अ,2657
इय्आ,22384
अअंत्अ,3503
ईय्अ,13487
क्र्इक्ए,2518
स्आल्अ,12427
ख्इल्आ,8076
उम्र्अ,1479
क्इय्आ,36573
स्अफ्अ,2413
र्अह् ए,23556
उन्ह् ओ,16595
प्ईछ्ए,1960
क्इए,5339
य्अह् आ,7770
त्अक्अ,20923
प्आक्इ,4324
स्त्आन्अ,4324
ख्एल्अ,5613
ऐत्इ,607
ह् आस्इ,2611
ट्एस्ट्अ,1931
ह् इस्स्आ,1776
क्अह् अ,11610
इट्अ,7598
र्अख्अ,9544
ज्अर्ऊ,4727
आइ,22163
व्अह् अ,17296
ख्उद्अ,3399
इट्ई,3009
ज्ऐस्ए,4756
इल्अ,11549
इअंग्अ,15506
इन्अ,24722
क्अर्ए,10484
ल्इय्ए,2873
र्अह् अ,12750
एस्अ,15220
क्उछ्अ,14730
ज्अब्अ,15754
अप्अ,44722
च्आन्अ,1771
स्अक्अ,20348
प्अर्इ,12320
ण्आम्अ,1304
क्ऐस्ए,2470
प्र्अद्अ,3136
र्श्अन्अ,3136
इस्ट्अ,2661
अन्उ,12781
ब्एह् अ,4080
इय्ओ,25457
ठ्ईक्अ,1939
ह् ओअंग्ए,2417
अल्अ,4703
च्आह् इ,6608
स्ऊच्ई,1110
श्अब्द्अ,1623
प्र्अद्आ,1498
म्उक्आ,1222
ब्अल्ए,1222
त्उल्अ,977
छ्ओट्ए,1365
ह् आल्अ,5795
स्थ्आप्इ,1061
स्एव्आ,3309
उल्ल्ए,876
क्अम्अ,15056
प्र्अत्इ,13550
आई,35945
श्इक्ष्अ,1376
त्ऐय्आ,4529
क्औन्अ,1361
र्अह् आ,18657
ज्अव्आ,3589
उल्अ,6263
ख्आन्अ,5011
द्और्आ,7361
स्क्ऊल्अ,4041
ल्अग्ई,2250
स्अंप्अत्त्इ,827
प्र्अध्आ,5697
न्अम्अंत्र्ई,4026
च्आर्अ,11929
उक्अ,4162
श्उक्र्अ,1881
व्आर्अ,21907
र्आष्ट्र्अ,4991
प्अत्इ,3612
स्औअंप्अ,1120
र्आज्अ,21718
न्ईत्इ,6187
द्अल्अ,3967
ह् ओत्ई,5938
क्ओई,12877
य्ओज्अ,5836
च्अल्आ,3297
ज्इन्अ,2331
ह् ओत्ए,4259
ब्आद्अ,23832
एश्अ,14176
ज्आर्ई,5048
ज्अह् आ,4003
ल्अग्आ,15558
न्अज्अ,3400
आए,3942
द्एश्अ,16098
एट्अ,12197
त्एज्अ,3821
द्एव्अ,5631
द्आर्अ,10841
क्अह् आ,32993
र्आम्अ,8454
व्अर्त्अ,1748
म्आन्अ,20238
प्उस्त्अ,683
अभ्ई,4338
ह् उई,9785
स्अंज्अय्अ,1084
श्अन्अ,7320
म्ओह् अ,2486
व्अन्अ,4892
द्अर्अ,5084
स्अम्आ,7637
र्ओह् अ,1283
प्आल्अ,4636
प्अद्अ,6062
र्अह् ई,18260
व्इव्आ,1885
म्आम्अ,10011
ज्इस्अ,16356
ब्अच्अ,2660
च्आह् अ,6969
प्उर्अ,11936
ल्अड्क्ई,1426
श्आद्ई,2481
य्उव्अ,1911
ब्अन्अ,10562
द्इल्ल्ई,7748
स्उअंद्अ,743
द्ऊस्अ,7168
प्अक्ष्अ,2101
आर्अ,8630
च्अय्अ,1060
क्ष्अण्अ,1401
ल्आभ्अ,2630
उठ्आ,3849
च्उक्ए,2635
उच्च्अ,2263
स्उव्इ,1901
ल्ओग्ओ,13118
य्उक्त्अ,3088
ल्एक्इ,16309
ल्ओक्अ,5592
अव्अ,6242
ध्आर्अ,3354
व्इच्आ,2715
प्ओर्ट्अ,1955
क्आर्इ,2504
ब्अत्आ,17419
इअंट्अ,692
र्अन्ए,692
भ्आर्अ,21318
प्ऊर्व्अ,7025
य्ऊर्ओ,626
व्अज्अ,3839
ओव्अ,1374
ह् अम्अ,14161
आध्आ,3768
द्अर्ज्अ,4911
प्र्अक्र्इ,1656
आग्ए,3898
ज्अम्आ,2319
म्एअंट्अ,3519
ज्इअंद्अ,908
ज्आत्ई,4368
आस्आ,1671
र्इप्ओ,3272
त्ईय्अ,7245
क्आर्ई,8539
व्इद्ए,2474
क्य्ओअंक्इ,4177
घ्अर्अ,8353
उद्य्ओ,1439
स्उर्अ,6021
द्एन्ए,6126
ऐस्ए,6376
ब्ओर्ड्अ,1871
प्अर्ई,2371
आन्ए,9746
फ्ऐस्अ,3540
ल्इय्आ,8565
ज्य्आद्आ,7235
स्अंभ्आव्अ,1346
व्इस्त्आ,893
इक्आ,5318
घ्उस्अ,857
व्अर्अ,9221
न्उक्अ,1548
स्आन्अ,1548
ब्आर्अ,13032
उन्अ,28510
ग्इर्अ,5479
उन्ह् ए,8814
इस्ई,5230
प्र्अक्आ,5026
प्अश्च्इ,1342
द्इव्अ,1915
म्अन्अ,7567
आय्ओ,5502
घ्ओष्अ,1920
स्व्आग्अ,951
ब्अढ्ओ,629
त्अर्ई,1946
स्अव्आ,3197
ऊर्अ,5113
अम्ए,3217
र्इक्ई,1080
ट्ईव्ई,1165
न्इर्द्ए,2354
अभ्इ,5749
न्आम्अ,9467
व्अर्ष्अ,7656
ह् उआ,10386
अन्य्अ,5773
ज्आन्अ,11355
ख्अब्अ,3015
श्ईर्ष्अ,937
न्ईच्ए,1593
फ्इल्म्अ,9345
स्व्ईक्आ,1082
म्उझ्ए,4079
ख्उल्अ,2166
द्एख्अ,10653
त्उम्अ,2592
प्अस्अंद्अ,1849
इस्ए,4606
स्आथ्अ,27696
म्ऐअंन्ए,2679
उस्अ,27953
अग्अ,9642
म्इल्ए,3790
छ्आत्र्अ,4168
इश्अ,4118
भ्आव्अ,4815
श्अक्त्इ,1387
स्अंक्एत्अ,811
व्इध्आ,5687
न्अस्अ,2872
म्अत्अ,2665
द्आन्अ,1033
य्अक्अ,3571
प्ऊर्ए,2631
क्ष्एत्र्अ,8109
स्अर्व्अ,4136
