item,frequency
आ,436008
व्ए,27649
द्अ,200976
न्अ,596239
क्अ,639779
र्अ,1167852
न्ए,303949
क्ई,238831
ख्इ,11420
ई,288867
त्आ,149020
र्ई,81852
ख्अ,91643
ज्अ,245681
व्अ,238726
ह् ऐ,296075
इ,452577
त्अ,344790
उ,235576
द्ओ,22089
ह् अ,319974
म्आ,127222
र्ए,61095
ल्इ,90174
ए,454867
क्इ,177831
न्आ,159142
प्य्आ,1426
द्उ,10875
न्इ,68778
य्आ,245765
प्अ,418031
क्ओ,196454
द्इ,69378
ब्अ,267622
स्अ,544397
ह् ई,127939
म्ए,288122
भ्ई,85212
म्इ,46872
ल्अ,418214
ज्आ,119289
म्ओ,19159
द्ई,37872
क्आ,305476
क्ए,398025
ल्ए,115247
र्य्अ,13865
त्ई,63088
ल्आ,115283
ब्इ,21742
ग्अ,190763
थ्आ,45346
ह् आ,119968
अंक्इ,7962
य्अ,242883
र्आ,147889
ज्य्अ,8771
भ्आ,67070
प्आ,75983
ह् ओ,92879
अंग्अ,38346
प्र्अ,95534
म्अ,363236
ब्ए,15145
ट्ई,28686
ऊ,73612
च्इ,12824
ऐ,44541
स्ई,60213
स्थ्इ,7164
त्इ,51604
न्य्आ,3473
प्ऊ,28066
र्ण्अ,8067
स्आ,115658
र्व्अ,12028
व्इ,97895
त्त्अ,13534
स्त्ए,3351
ध्अ,51930
ओ,220216
अंट्अ,19406
भ्अ,50834
व्आ,145092
त्प्आ,2274
व्य्अ,10207
औ,139003
ग्र्अ,9924
र्थ्अ,10066
ब्अंध्अ,5062
क्ष्अ,32893
र्ऊ,25227
ढ्आ,4557
च्अ,89170
स्प्अ,10311
ड्ई,25906
अंक्अ,15432
ट्अ,139993
ड्ड्अ,1937
ब्ऐ,14101
ठ्अ,30896
म्औ,11851
ज्ऊ,7068
थ्ए,16389
च्उ,18339
श्अ,144850
क्उ,31285
स्ए,211168
अ,251820
ध्इ,24023
व्ओ,8762
प्र्आ,8981
प्त्अ,6279
ह् उ,58695
ल्ऐ,1821
अंड्अ,26973
ल्ल्ए,2406
ब्आ,105949
अंत्अ,16237
ष्ट्अ,6259
क्र्इ,4822
ड्ए,17525
र्क्अ,6917
फ्अ,74816
य्ऊ,20648
ब्र्अ,5287
म्र्अ,1479
ह् ए,31163
न्ह् ओ,17405
अंन्ए,20084
प्ई,29628
छ्ए,1960
श्इ,25909
स्त्आ,7443
ख्ए,6708
ग्ए,22041
स्इ,34141
ट्ए,12229
स्ट्अ,23492
ह् इ,35272
स्स्आ,1776
र्ज्अ,11874
ऑ,35981
त्ए,74745
ज्इ,39866
त्ओ,36066
ख्उ,8376
ज्ऐ,9125
य्ए,35148
छ्अ,41215
क्ऑ,7005
म्प्अ,3335
ड्अ,51957
च्आ,48746
ऍ,1819
र्इ,48743
ण्आ,10305
ष्ठ्अ,4475
क्ऐ,11048
र्श्अ,8088
न्उ,15017
त्र्अ,34345
य्ओ,60923
ठ्ई,3063
अंग्ए,14862
ण्अ,63186
श्ओ,5437
न्ई,64688
स्ऊ,10621
च्ई,10463
ब्द्अ,1623
द्आ,48847
अंब्अ,4433
म्उ,46915
त्उ,5262
छ्ओ,5382
स्थ्आ,11164
प्इ,10761
र्ऐ,2443
ध्ई,5056
ट्र्अ,5690
र्ष्अ,12478
ज्ई,31345
त्ऐ,5375
ग्आ,65980
क्औ,1361
द्द्अ,3390
ख्आ,29858
द्औ,10521
स्क्ऊ,4041
ग्ई,40743
स्अंप्अ,1694
त्त्इ,827
स्व्अ,12181
क्र्अ,15604
ध्आ,32323
म्अंत्र्ई,14133
क्स्अ,8551
श्उ,17938
ष्ट्र्अ,4991
ल्ओ,40270
स्क्अ,8905
फ्आ,9242
स्औ,3711
अंप्अ,8354
द्ए,82099
र्ट्अ,16124
ल्ई,53568
प्ओ,10372
ड्आ,22394
अंस्अ,18532
अंग्ई,2863
ट्आ,11059
र्स्अ,6251
द्व्अ,2682
र्त्अ,12334
प्उ,35896
स्त्अ,23253
थ्ई,20402
ज्ओ,23170
स्अंज्अ,1084
र्ओ,43472
ग्ओ,20647
थ्अ,56234
म्ऐ,20514
ह् ऊ,4943
ड्क्ई,1426
श्आ,38793
य्उ,8353
ल्ल्ई,7748
फ्ट्अ,1906
स्उ,31346
अंद्अ,21971
द्ऊ,12709
क्त्अ,13756
ठ्आ,4864
च्च्अ,6081
स्थ्अ,6764
न्न्अ,6693
ढ्अ,6125
म्ई,19476
व्र्द्ध्इ,1180
क्य्ओ,6474
घ्अ,29375
द्य्ओ,1439
क्ष्आ,10256
ब्ओ,8474
र्ड्अ,10269
फ्ऐ,6730
ज्य्आ,7235
स्अंभ्आ,2087
ण्ई,4439
च्ए,6125
घ्उ,857
ळ्अ,4177
झ्आ,3055
म्म्अ,3558
ग्इ,7315
न्ह् ए,10446
फ्र्अ,2208
श्च्इ,2071
ट्ट्अ,3344
भ्ऊ,5893
त्य्आ,5713
घ्ओ,2981
ष्अ,25904
स्व्आ,2973
ढ्ओ,629
व्ई,13386
र्द्ए,2354
भ्इ,7956
म्ब्अ,4689
न्य्अ,7692
श्ई,7771
फ्इ,19310
ल्म्अ,9345
स्ट्र्अ,2933
स्व्ई,2743
झ्ए,4079
स्अंद्अ,1849
छ्आ,4168
अंच्अ,25296
क्त्इ,4920
स्अंक्ए,811
द्र्ष्ट्इ,784
न्द्र्अ,4154
क्ष्ए,8109
न्अंब्अ,2028
व्ऐ,5967
ग्र्आ,5919
र्च्आ,2123
अंव्अ,4911
ड्क्अ,2634
स्य्आ,2872
क्क्अ,4642
न्ह् अ,3118
न्ओ,15287
र्ग्अ,7024
प्ए,11553
प्अंच्आ,1785
ध्य्अ,12268
ग्उ,16777
ध्य्ए,585
ण्य्आ,1152
ट्र्ओ,1066
द्व्आ,9271
द्य्अ,644
अंग्र्ए,8977
ज्उ,5018
ष्य्अ,1871
प्र्इ,1447
त्अंत्र्अ,2363
स्अंस्थ्आ,2686
श्य्अ,2611
ख्य्अ,8927
क्य्आ,7102
स्ओ,12757
स्अंभ्अ,978
अंध्ई,3435
झ्अ,15617
म्म्ई,3781
छ्ऊ,837
र्ट्ई,6881
ह् औ,757
ल्ड्अ,2612
त्व्अ,5062
क्अंप्अ,6586
त्औ,2872
स्अंस्अ,1543
र्च्अ,6501
ल्अंब्ए,897
ज्ए,14741
भ्ए,3107
च्ऊ,2095
भ्ओ,2291
र्फ्अ,3281
र्उ,24910
च्ऐ,2909
ज्ञ्अ,5908
ब्ई,27173
प्र्ऐ,1521
ड्ऑ,5343
र्स्इ,667
ग्ऐ,1989
ल्प्अ,3542
ध्ए,801
क्ट्अ,8416
स्अंग्अ,2130
ढ्ए,1229
अंज्अ,9222
फ्ई,8427
क्ट्ऊ,1138
ब्ऊ,4491
त्र्आ,2048
न्औ,4339
प्ऐ,7906
श्क्इ,1327
ज्र्ऊ,740
भ्उ,993
च्छ्ई,2006
म्ऑ,980
अंद्ऊ,802
अंग्ल्आ,660
अंद्र्अ,8266
स्अंघ्अ,3174
ब्ध्अ,2398
घ्आ,2940
फ्ल्अ,1505
र्अंग्अ,2922
ख्ओ,1560
ज्ज्अ,1304
ष्आ,1568
र्म्अ,16039
च्ओ,792
त्म्अ,4834
न्द्अ,3766
ल्क्इ,2424
अंद्ई,1402
र्थ्इ,1807
अंब्ई,2543
अंड्इ,3579
अंध्अ,4988
न्द्ई,788
श्व्अ,5626
ड्इ,16123
ख्स्अ,634
ल्औ,1452
श्ए,5844
च्य्आ,2151
ध्य्आ,2574
श्र्अ,5068
द्ध्आ,939
र्प्अ,1709
फ्ओ,4703
ट्ओ,1817
ल्ल्अ,3225
क्ष्इ,2468
प्ल्आ,773
क्ल्अ,2888
त्अंब्अ,1225
च्अंड्ई,729
ग्र्ह् अ,1263
स्ल्इ,1248
द्द्ए,1791
र्भ्अ,635
ग्ऊ,1667
अंग्आ,4332
र्न्अ,2449
अंस्आ,1572
य्अंत्र्अ,1859
श्र्ई,6239
म्म्ऊ,1260
श्म्ई,2522
म्अंग्अ,1911
ष्ट्र्ई,3842
फ्त्ए,651
ल्य्आ,3910
स्थ्य्अ,2022
अंह् अ,13262
द्ध्अ,7974
अंच्ए,1961
व्य्आ,1923
त्न्ई,1994
श्त्ए,712
ऋ,1587
अंख्अ,936
र्य्आ,2829
ब्अंद्अ,4270
अंग्ल्ऐ,896
र्म्आ,6792
ध्ओ,888
य्अंक्आ,776
ट्ऊ,986
न्ऊ,3880
ड्र्आ,659
म्म्आ,2027
त्य्ए,869
स्ल्आ,945
अंत्इ,2544
ब्उ,9481
र्र्अ,2282
स्ट्र्ए,838
म्म्ए,2105
द्द्ओ,621
प्अंज्आ,2150
ल्अंक्आ,709
स्अंख्य्आ,2494
घ्अंट्ए,1602
प्र्ए,1871
च्छ्आ,3010
स्क्आ,934
ग्औ,883
म्ऊ,2494
ल्य्अ,1309
र्ध्आ,775
म्अंत्र्आ,1719
म्अंत्र्अ,3477
ज्ञ्आ,705
क्श्अ,2076
प्ल्अ,2830
स्अंब्अ,1437
र्त्इ,701
र्त्आ,1734
स्अंब्अंध्इ,1406
ब्ल्अ,2814
ल्ल्आ,1792
स्अंब्ओ,910
अंद्ओ,1349
च्छ्अ,1898
अंद्र्ई,1741
प्त्आ,3428
स्अंब्अंध्अ,3090
ख्अंड्अ,1295
स्य्अ,3051
ल्ट्अ,2350
थ्इ,1407
च्औ,5947
र्ल्ड्अ,644
र्अंत्अ,842
च्छ्ए,1291
क्र्ई,820
य्ई,2543
ल्द्अ,2527
फ्ए,831
स्ऐ,4126
न्अंद्अ,1014
फ्त्आ,2552
त्त्आ,1574
श्न्अ,858
र्म्इ,1600
त्र्ओ,1145
त्स्आ,651
म्भ्अ,789
ट्व्इ,675
ट्व्ई,1233
प्र्ओ,4293
म्अंद्इ,2817
ख्ऊ,1560
ट्इ,1077
ट्र्आ,738
स्ट्आ,1146
द्र्अ,4165
म्अंड्अ,1946
फ्र्ई,658
ग्अंभ्ई,1872
