item,frequency
[CLS],298839
आ,100068
##वे,10583
##दन,4603
करने,29027
की,195432
##ख,30247
##िर,32051
##ी,168938
त,41609
##ारी,11473
31,1063
जनवरी,1842
",",185369
2020,486
है,210706
।,271165
[SEP],298839
इ,31805
##तन,9026
दु,7817
##आ,13851
कर,89411
दो,15329
हम,24817
##ारे,5546
लिए,47811
कि,93010
ज,74793
##ित,30221
##ना,36865
प,205933
##्या,26797
##र,183085
दुनिया,3256
ने,112349
##प,100713
##को,11327
दिया,20707
ब,188131
##स,98291
उ,43998
##ा,199852
ही,40774
##ें,32235
भी,65777
म,189025
##िल,30544
जा,52969
##ए,63791
|,8164
[UNK],39113
##ो,78139
##दी,12857
सरकार,16300
के,316793
पहले,14194
कार्य,10626
##काल,2042
में,235659
तीन,6420
##ला,37915
##क,90157
को,158945
लेकर,10128
ला,14946
##या,34516
गया,29675
था,34828
हालांकि,3774
तब,4547
यह,33605
राज्य,8772
##भा,12650
पास,7125
नहीं,46186
हो,47833
पाया,1418
.,145964
भ,40520
##ाज,25426
##पा,22391
द,54027
##िव,20556
##ंग,38932
##त,85002
##ता,62970
##्रम,4297
##द,71522
##हा,14931
##जन,8674
##ेट,15969
पू,7250
##न,115486
##म,109414
स,223508
##च,46626
बनाया,2184
ऐसी,2825
स्थिति,2925
एक,58020
न,113697
##य,30808
##पूर्ण,1325
सार्वजनिक,872
वि,42290
##्त,16182
का,139201
इस,51139
तरह,10316
इस्तेमाल,2620
करती,2976
सं,31459
##सा,20057
##धन,3091
##ों,96662
##व,51852
##ंट,15127
सभी,8585
##भ,18428
##ोग,4824
वाले,12738
##्,48465
व,61453
##्य,24934
##हार,5800
और,112928
##ग,37494
##्र,87110
##ृ,8469
##ह,76065
-,57683
आर्थिक,1806
##बंध,4369
',15896
##ि,91154
##ष,14450
##क्ष,14506
रूप,9022
##ढ़,20985
डी,4616
##सी,16651
##ल,133477
च,80879
##ेय,6066
##ैन,9154
टी,4146
वे,13584
##ंक,11392
##टर,4776
##मन,3857
र,111130
##ेड,7756
##्ड,7970
वा,19793
##इ,17067
##यक,5063
##वि,15218
##ै,52871
##ठ,15053
##ौ,43165
##जूद,5247
थे,16034
