item,frequency
व्ए,30943
द्अ,199769
न्अ,417334
क्अ,520266
र्अ,935971
न्ए,274404
क्ई,229160
आख्,2131
र्ई,105065
त्अ,293800
आर्,130031
ख्अ,94364
ज्अ,217931
व्अ,220859
ह् ऐ,296118
इत्,66468
न्ई,55534
द्उ,10360
द्ओ,24828
ह् अ,307394
म्आ,115009
र्ए,80199
ल्इ,86067
क्इ,189705
न्आ,142201
प्अ,342074
य्अ,194907
न्इ,57818
य्आ,213890
आप्,34772
अक्,83649
द्इ,69570
ब्अ,266663
स्अ,389067
ह् ई,136369
म्ए,278362
भ्ई,84147
म्इ,33864
ल्अ,320143
ज्आ,119348
म्ओ,18164
द्ई,45359
क्आ,266497
क्ए,368106
ल्ए,117596
र्य्,16485
त्ई,72255
ल्आ,108222
क्ओ,195851
ब्इ,17753
ग्अ,204147
थ्आ,46819
ह् आ,115117
अंक्,16339
र्आ,131338
ज्य्,13923
भ्आ,64754
प्आ,69733
ह् ओ,110746
अंग्,48037
त्आ,150726
प्र्,113786
म्अ,328158
ब्ए,17329
ट्ई,33597
प्ऊ,27245
च्इ,9432
ऐस्,17827
स्थ्,25624
एक्,56147
न्य्,5915
र्ण्,7338
इक्,75100
व्इ,96208
इस्,110039
त्ए,80910
स्अं,51399
स्आ,102422
ध्अ,61150
न्ओ,21499
व्अं,2868
ट्अ,133018
उप्,14455
भ्अ,56988
ओग्,12311
व्आ,135425
उत्,12313
व्य्,15156
अव्,14735
और्,119313
ग्र्,12469
व्र्,2199
र्थ्,4134
ब्अं,13280
क्ष्,53195
र्ऊ,19433
ढ्आ,2555
च्अ,105015
स्प्,6020
ड्ई,29388
स्ई,59676
एल्,11493
च्ए,10381
ऐन्,6737
एअं,62868
ड्अ,75856
आइ,8910
ब्ऐ,14188
ठ्अ,26948
म्औ,13184
ज्ऊ,8746
थ्ए,16362
आम्,31151
च्उ,20030
श्अ,140677
क्उ,31243
स्ए,186482
अध्,30418
ओट्,5689
ह् उ,61919
आय्,43684
ऐअं,9258
ल्ल्,9397
ब्आ,102525
इय्,80711
अअं,12513
ष्ट्,16881
क्र्,17209
एट्,9846
आन्,85653
ड्ए,19520
ख्इ,8672
फ्अ,70856
इव्,7379
य्ऊ,14880
ब्र्,3972
उम्,5984
ह् ए,35050
उन्,56069
अंन्,19252
प्ई,30721
छ्ए,1960
श्इ,20804
स्त्,27384
ख्ए,6644
ग्ए,26284
त्इ,41719
ट्ए,11406
स्ट्,27134
ह् इ,32480
स्स्,1776
र्ज्,8422
ब्ऑ,3532
इट्,11651
ऊर्,15795
ज्इ,38796
त्ओ,40644
ख्उ,8167
ज्ऐ,8294
इअं,23122
य्ए,32041
छ्अ,42419
क्ऑ,5317
प्ए,14355
अप्,47971
अन्,86551
ओज्,11657
च्आ,46299
अम्,32722
र्इ,34705
ण्अ,56330
ष्ठ्,4473
क्ऐ,9640
अद्,13407
अर्,43887
ऊल्,8667
द्आ,40143
उट्,2727
ओअं,134380
ठ्ई,4996
अल्,24878
अग्,15992
अण्,3166
ओध्,4506
स्ऊ,8203
च्ई,11482
आस्,20351
ब्ई,29310
ऊअं,4634
म्उ,46654
द्ऊ,10707
र्ओ,29458
उल्,12008
छ्ओ,4718
प्इ,11311
अत्,18548
ध्ई,4257
ट्र्,9551
ष्अ,27084
ज्ई,36964
आई,23806
त्ऐ,5722
एग्,8044
क्औ,2454
इल्,32071
द्औ,10711
स्क्,9293
ग्ई,38252
आग्,7071
त्त्,4562
स्व्,12358
अंत्,19439
उक्,7182
श्उ,14811
ल्ओ,41787
इम्,9082
इर्,7458
फ्आ,4382
स्औ,3275
अंप्,5005
य्ओ,24424
द्ए,74710
र्ट्,19509
ल्ई,49687
अंड्,18444
ओल्,9705
आअं,26368
ग्आ,55311
आए,4361
र्स्,7037
प्उ,35044
थ्ई,20402
ज्ओ,24808
अभ्,13883
ऑल्,2044
ओह् ,2471
ग्ओ,18778
