item,frequency
आव्,21976
एद्,5072
अन्,129970
क्अ,456185
र्अ,785563
न्ए,267353
क्ई,224733
आख्,2703
इर्,6995
त्आ,137467
र्ई,112152
ख्अ,55400
ज्अ,171916
न्अ,351540
व्अ,160285
ह् ऐ,296874
इत्,38587
द्उ,12887
द्ओ,27062
ह् अ,253508
म्आ,121653
र्ए,80747
ल्इ,98196
क्इ,188100
ज्इ,47733
त्अ,259846
न्आ,147845
प्य्,2802
आर्,102061
न्इ,71859
य्आ,212890
आप्,43107
अक्,134791
द्इ,77190
ब्अ,218164
स्अ,332142
उत्,14881
ह् ई,133866
म्ए,278031
भ्ई,83861
म्इ,49077
ल्अ,261655
ज्आ,122068
म्ओ,21224
द्ई,39341
क्आ,261055
क्ए,363368
प्अ,278881
ल्ए,120277
र्य्,21039
आल्,23382
त्ई,60835
ल्आ,116896
क्ओ,185764
ब्इ,25725
ग्अ,147544
थ्आ,49392
ह् आ,119071
अंक्,20133
य्अ,172148
र्आ,142847
ज्य्,18069
अस्,50906
अभ्,20179
प्आ,74181
ह् ओ,114678
भ्आ,62104
व्अं,3293
प्र्,112812
अम्,62242
ओद्,618
म्अ,243359
ब्ए,19472
ट्ई,25262
प्ऊ,28233
च्इ,13994
ऐस्,15088
स्थ्,20971
एक्,67186
न्य्,12107
आय्,25108
अप्,63578
ऊर्,6604
ण्अ,29870
स्आ,105549
र्व्,15423
अज्,10300
इक्,54028
व्इ,95745
त्त्,10938
इस्,103939
त्ए,76351
स्अं,56422
ध्अ,32871
न्ओ,29556
अंट्,9919
उप्,17466
ओग्,7894
व्आ,121837
व्य्,16419
अव्,39043
अह् ,9774
और्,116419
ग्र्,16321
व्र्,3495
द्अ,143748
थ्इ,7764
अब्,27778
अंध्,9384
ष्प्,750
ष्अ,22012
र्ऊ,29500
ढ्आ,6272
च्अ,65020
स्प्,7447
ड्ई,22405
स्ई,50664
एच्,2684
एल्,10416
च्ए,10054
म्ऐ,21710
व्ए,25787
अट्,7875
अर्,117855
ड्ड्,1478
ब्ऐ,14709
ठ्अ,14460
म्औ,13571
ज्ऊ,10467
थ्ए,17456
आम्,17255
च्उ,20448
श्अ,87811
क्उ,33869
ग्औ,3207
स्ए,184858
अध्,34150
व्ओ,11015
ट्अ,87466
ह् उ,64394
अल्,50658
ऐअं,3453
ड्अ,35054
ल्ल्,13408
एब्,2748
आज्,22440
ओब्,1151
अअं,16845
र्र्,3881
आष्,1084
ट्र्,15545
ईय्,7825
क्र्,19997
एट्,9281
आस्,26042
ऐल्,1022
आन्,61647
ड्ए,18667
र्क्,6716
ख्इ,13306
फ्अ,29281
अद्,30435
इव्,5162
ब्य्,1710
ब्र्,6875
उम्,8986
ह् ए,44653
उन्,58556
अंन्,22350
प्ई,24679
छ्ए,4763
श्इ,26257
स्त्,27154
ख्ए,13084
ग्ए,26805
ल्ऐ,2248
अंड्,10874
ऐत्,826
इह् ,2291
ट्ए,17598
स्ट्,25012
ह् इ,42121
स्स्,4392
ज्उ,10244
ब्ऑ,3982
फ्इ,23624
इज्,3559
त्ओ,42611
ख्उ,9769
ब्आ,100139
ट्इ,10826
ज्ऐ,9622
इल्,14586
इअं,26502
स्व्,18331
इम्,8405
व्ऑ,1460
अंग्,46634
इन्,29045
ल्व्,528
अंज्,3410
य्ए,37091
अच्,16508
छ्आ,11238
क्ऑ,8072
म्प्,3060
इट्,9679
ईट्,3186
एस्,18833
प्ए,17180
क्ट्,5757
ल्प्,2804
ग्ऑ,141
फ्ऑ,1676
छ्अ,29770
क्ष्,46727
ख्ओ,5787
ब्द्,2133
ओअं,86743
च्आ,44043
एज्,6110
ऍन्,65
र्इ,64005
ण्आ,9155
ष्ठ्,3432
क्ऐ,11598
उक्,3573
ऊल्,5462
द्आ,38756
त्र्,41751
उट्,872
इय्,36523
ठ्ई,3839
अग्,24274
अअ,1164
अण्,17052
श्ओ,8630
र्त्,13566
आओ,4279
स्ऊ,14256
च्ई,10797
ष्ट्,13154
ल्अं,5655
ब्ई,26879
अंछ्,279
म्उ,47648
द्ऊ,15670
र्ओ,50153
त्उ,10274
आश्,7591
अय्,23048
छ्ओ,6744
र्ऐ,4726
ब्ऊ,5705
उल्,5096
न्ई,58404
अत्,60570
