item,frequency
आव्,16500
एद्,2871
अन्,93273
क्अ,525378
र्अ,971155
न्ए,269037
क्ई,222349
आख्,1879
इर्,6673
त्आ,149105
र्ई,91048
ख्अ,89036
ज्अ,223262
न्अ,463496
व्अ,214242
ह् ऐ,296075
इत्,57018
द्अ,196629
उआ,1850
द्ओ,23438
ह् अ,313783
म्आ,125406
र्ए,68990
ल्इ,85472
क्इ,182008
न्आ,150006
प्य्,1426
आर्,74139
द्उ,10875
न्इ,66147
य्आ,203507
आप्,36248
अक्,93335
द्इ,67994
ब्अ,258403
स्अ,392525
त्अ,293804
ह् ई,127319
म्ए,277855
भ्ई,82746
म्इ,44230
ल्अ,373210
ज्आ,121469
म्ओ,19159
द्ई,37872
क्आ,269515
क्ए,362374
प्अ,330312
ल्ए,113690
र्य्,16694
त्ई,63088
ल्आ,108916
क्ओ,188837
ब्इ,21742
आय्,45266
ग्अ,191599
थ्आ,48241
ह् आ,117334
अंक्,20808
य्अ,191130
र्आ,136062
ज्य्,16006
भ्आ,65418
प्आ,74894
ह् ओ,109474
इव्,3833
अंग्,44017
प्र्,113191
म्अ,327944
ब्ए,16042
ट्ई,25010
ऊन्,5934
च्इ,12824
ऐस्,14614
स्थ्,23430
एक्,62921
न्य्,5392
प्ऊ,25907
र्ण्,6609
स्आ,103795
र्व्,12028
अज्,867
इक्,66796
व्इ,95597
त्त्,13023
इस्,110495
त्ए,77363
स्अं,52196
ध्अ,59240
ओअं,173393
अंट्,14836
उप्,16169
भ्अ,50641
व्आ,133726
उत्,9284
व्य्,12130
अव्,23024
अह् ,5453
और्,120784
ग्र्,19332
र्थ्,4347
अब्,20376
अंध्,9277
क्ष्,52612
र्ऊ,25227
ढ्आ,4557
च्अ,91433
स्प्,7705
ड्ई,26635
स्ई,52906
एय्,4336
अर्,45928
व्ए,24206
ट्अ,128715
ड्ड्,1937
ब्ऐ,14101
ठ्अ,30896
म्औ,11851
ज्ऊ,7068
थ्ए,16389
आम्,9941
च्उ,18339
श्अ,108596
क्उ,31285
स्ए,185210
अध्,27484
व्ओ,8762
ह् उ,58695
ल्ऐ,1821
अंड्,26077
ल्ल्,14295
एब्,1530
आज्,17122
इय्,76200
अअं,10673
ष्ट्,14612
ईय्,15099
क्र्,18637
एट्,15414
ड्ए,17525
र्क्,7616
ख्इ,8800
फ्अ,68362
य्ऊ,20648
ब्र्,5287
उम्,6133
ह् ए,37304
उन्,53919
अंन्,19274
प्ई,28775
छ्ए,3251
श्इ,24360
स्त्,29191
आन्,51215
ख्ए,6708
ग्ए,27578
ऐत्,607
इह् ,1982
आस्,12900
ट्ए,13831
स्ट्,23989
ह् इ,35272
स्स्,2701
र्ज्,11874
इट्,12989
आइ,23871
ज्इ,37862
त्ओ,36066
ख्उ,8376
ब्आ,99195
ज्ऐ,9125
इल्,16696
इअं,33735
इन्,28020
एअं,57535
य्ए,32925
छ्अ,41215
क्ऑ,7005
म्प्,3335
एस्,17290
ड्अ,48972
अप्,50009
च्आ,46741
र्इ,41164
ण्आ,10305
ष्ठ्,4475
क्ऐ,11048
अद्,18126
त्र्,46596
ठ्ई,3063
अल्,19180
अग्,16770
ण्अ,52281
श्ओ,4546
स्ऊ,10621
च्ई,10463
ब्द्,1623
अंब्,6976
म्उ,44156
त्उ,6184
छ्ओ,5382
य्ओ,21300
र्ऐ,3964
उल्,7139
अत्,25120
ध्ई,5056
ट्र्,9858
र्ष्,12478
ज्ई,31987
आई,38227
त्ऐ,5375
एग्,13215
क्औ,1361
द्द्,5058
